date,price(SGD),watch_id,brand,model,day_of_week,day_of_week_sin,day_of_week_cos,month,month_sin,month_cos,quarter,is_weekend,price_lag_5,price_lag_7,price_lag_14,price_lag_30,rolling_mean_5,rolling_std_5,rolling_mean_7,rolling_std_7,rolling_mean_14,rolling_std_14,rolling_mean_30,rolling_std_30,price_change_5,price_change_abs_5,price_change_7,price_change_abs_7,price_change_14,price_change_abs_14,price_change_30,price_change_abs_30,momentum_5,roc_5,momentum_10,roc_10,momentum_20,roc_20,volatility_5,volatility_ratio_5,volatility_10,volatility_ratio_10,volatility_20,volatility_ratio_20,volatility_30,volatility_ratio_30,ema_5,price_over_ema_5,ema_10,price_over_ema_10,ema_20,price_over_ema_20,bb_upper_10,bb_lower_10,bb_position_10,bb_upper_20,bb_lower_20,bb_position_20,rsi,tier_entry,tier_mid,tier_high,tier_ultra,brand_tier_premium,brand_tier_non_premium,is_sports_watch,is_dress_watch,is_holiday_season,is_watch_fair_season,luxury_vol_3,luxury_vol_5,luxury_vol_10,price_premium_30d,target,target_pct_change
2024-09-16,66788,Philippe_Aquanaut_5167_Stainless_Steel_5167A,Patek Philippe,22557,0,0.0,1.0,9,-1.0,-1.8369701987210294e-16,3,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66788.0,1.0,66788.0,1.0,66788.0,1.0,,,,,,,,0,0,1,0,1,0,0,0,False,False,,,,,66957.0,
2024-09-17,66957,Philippe_Aquanaut_5167_Stainless_Steel_5167A,Patek Philippe,22557,1,0.7818314824680298,0.6234898018587336,9,-1.0,-1.8369701987210294e-16,3,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66889.40000000001,1.0010106235068634,66880.95,1.0011370950921004,66876.725,1.0012003428696603,,,,,,,,0,0,1,0,1,0,0,0,False,False,,,,,66919.0,0.0025303946816792
2024-09-18,66919,Philippe_Aquanaut_5167_Stainless_Steel_5167A,Patek Philippe,22557,2,0.9749279121818236,-0.2225209339563143,9,-1.0,-1.8369701987210294e-16,3,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66903.42105263159,1.000232857260859,66896.24584717608,1.0003401409531396,66892.2481265612,1.0003999248670516,,,,,,,,0,0,1,0,1,0,0,0,False,False,,,,,66892.0,-0.000567528413758
2024-09-19,66892,Philippe_Aquanaut_5167_Stainless_Steel_5167A,Patek Philippe,22557,3,0.4338837391175582,-0.900968867902419,9,-1.0,-1.8369701987210294e-16,3,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66898.67692307693,0.9999001934958356,66894.84702970297,0.9999574402240324,66892.17649625934,0.9999973614812884,,,,,,,,0,0,1,0,1,0,0,0,False,False,0.0276717917587682,,,,66880.0,-0.0004034728552428
2024-09-20,66880,Philippe_Aquanaut_5167_Stainless_Steel_5167A,Patek Philippe,22557,4,-0.433883739117558,-0.9009688679024191,9,-1.0,-1.8369701987210294e-16,3,False,,,,,66887.2,62.84663873271182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66891.50710900474,0.9998279735425007,66890.58485127742,0.9998417587273164,66889.23110543395,0.999861994146421,,,,,,,,0,0,1,0,1,0,0,0,False,False,0.0030929793248229,,,,66525.0,-0.0001793936494648
2024-09-21,66525,Philippe_Aquanaut_5167_Stainless_Steel_5167A,Patek Philippe,22557,5,-0.9749279121818236,-0.2225209339563146,9,-1.0,-1.8369701987210294e-16,3,True,66788.0,,,,66834.6,175.57989634351836,,,,,,,-0.0039378331436784,-263.0,,,,,,,0.9960621668563217,-0.0039378331436784,,,,,0.044906282792825,1.2819726116187835,,,,,,,66757.58045112783,0.9965160443270096,66795.62983743509,0.995948390065432,66812.39497931831,0.9956984781131214,,,,,,,,0,0,1,0,1,0,0,0,False,False,0.0460121130106478,0.044906282792825,,,66494.0,-0.005308014354067
2024-09-22,66494,Philippe_Aquanaut_5167_Stainless_Steel_5167A,Patek Philippe,22557,6,-0.7818314824680299,0.6234898018587334,9,-1.0,-1.8369701987210294e-16,3,True,66957.0,,,,66742.0,212.99413137455423,66779.28571428571,191.5182448103501,,,,,-0.0069148856728945,-463.0,,,,,,,0.9930851143271054,-0.0069148856728945,,,,,0.0348876057966908,1.5579053007408707,,,,,,,66664.25837785334,0.997446032071814,66722.9491633752,0.9965686594155992,66752.19436958135,0.9961320467136732,,,,,,,,0,0,1,0,1,0,0,0,False,False,0.0457478261055008,0.0348876057966908,,,66469.0,-0.0004659902292371
2024-09-23,66469,Philippe_Aquanaut_5167_Stainless_Steel_5167A,Patek Philippe,22557,0,0.0,1.0,9,-1.0,-1.8369701987210294e-16,3,False,66919.0,66788.0,,,66652.0,214.57283145822743,66733.71428571429,224.25410756974577,,,,,-0.0067245475873817,-450.0,-0.0047763071210397,-319.0,,,,,0.9932754524126184,-0.0067245475873817,,,,,0.0351954809016712,0.0287091467367129,,,,,,,66596.52957969866,0.998085041660526,66665.1745048571,0.9970573165627458,66703.24279980698,0.9964882846774032,,,,,,,,0,0,1,0,1,0,0,0,False,False,0.0447960896217462,0.0351954809016712,,,66507.0,-0.0003759737720696
2024-09-24,66507,Philippe_Aquanaut_5167_Stainless_Steel_5167A,Patek Philippe,22557,1,0.7818314824680298,0.6234898018587336,9,-1.0,-1.8369701987210294e-16,3,False,66892.0,66957.0,,,66575.0,171.71633585655405,66669.42857142857,213.83549529396612,,,,,-0.0057555462536625,-385.0,-0.0067207312155562,-450.0,,,,,0.9942444537463374,-0.0057555462536625,,,,,0.0374503564043906,0.2840441976252348,,,,,,,66565.88936414378,0.9991153222062183,66630.76126780106,0.9981425806122244,66671.76449513742,0.9975287215452436,,,,,,,,0,0,1,0,1,0,0,0,False,False,0.0091260473382386,0.0374503564043906,,,66057.0,0.0005716950759
2024-09-25,66057,Philippe_Aquanaut_5167_Stainless_Steel_5167A,Patek Philippe,22557,2,0.9749279121818236,-0.2225209339563143,9,-1.0,-1.8369701987210294e-16,3,False,66880.0,66919.0,,,66410.4,198.60714992164867,66546.28571428571,283.1334869431147,,,,,-0.0123056220095694,-823.0,-0.0128812444896068,-862.0,,,,,0.9876943779904306,-0.0123056220095694,,,,,0.0527481777664305,1.561527397553184,,,,,,,66393.26602326584,0.9949352390173424,66510.2391762665,0.9931854225472664,66579.18628900213,0.992156913922987,67223.03324722819,66074.56675277182,-0.0152958339286451,,,,,0,0,1,0,1,0,0,0,False,False,0.0633582847380137,0.0527481777664305,,,65938.0,-0.0067662050611213
