date,price(SGD)
2024-09-16,66788
2024-09-17,66957
2024-09-18,66919
2024-09-19,66892
2024-09-20,66880
2024-09-21,66525
2024-09-22,66494
2024-09-23,66469
2024-09-24,66507
2024-09-25,66057
2024-09-26,65938
2024-09-27,65814
2024-09-28,65777
2024-09-29,65840
2024-09-30,65641
2024-10-01,65508
2024-10-02,65492
2024-10-03,65536
2024-10-04,65516
2024-10-05,65619
2024-10-06,65624
2024-10-07,65629
2024-10-08,65741
2024-10-09,65635
2024-10-10,66445
2024-10-11,66152
2024-10-12,66419
2024-10-13,65894
2024-10-14,65904
2024-10-15,66460
2024-10-16,66723
2024-10-17,66301
2024-10-18,66332
2024-10-19,66362
2024-10-20,66705
2024-10-21,66327
2024-10-22,65771
2024-10-23,66917
2024-10-24,66914
2024-10-25,66356
2024-10-26,66415
2024-10-27,66475
2024-10-28,66542
2024-10-29,66507
2024-10-30,66549
2024-10-31,67484
2024-11-01,67709
2024-11-02,68093
2024-11-03,68144
2024-11-04,68187
2024-11-05,68212
2024-11-06,68494
2024-11-07,68488
2024-11-08,68632
2024-11-09,68508
2024-11-10,68540
2024-11-11,68607
2024-11-12,68664
2024-11-13,68619
2024-11-14,68442
2024-11-15,68617
2024-11-16,68748
2024-11-17,68832
2024-11-18,68889
2024-11-19,68985
2024-11-20,68209
2024-11-21,68486
2024-11-22,68265
2024-11-23,68293
2024-11-24,68340
2024-11-25,68257
2024-11-26,68398
2024-11-27,66196
2024-11-28,66231
2024-11-29,66406
2024-11-30,68492
2024-12-01,68523
2024-12-02,68152
2024-12-03,68187
2024-12-04,68620
2024-12-05,68568
2024-12-06,68609
2024-12-07,68480
2024-12-08,68442
2024-12-09,68474
2024-12-10,68501
2024-12-11,69069
2024-12-12,69121
2024-12-13,68344
2024-12-14,68085
2024-12-15,68063
2024-12-16,68073
2024-12-17,67819
2024-12-18,68307
2024-12-19,68313
2024-12-20,67639
2024-12-21,67665
2024-12-22,67667
2024-12-23,67682
2024-12-24,67698
2024-12-25,67719
2024-12-26,67735
2024-12-27,68065
2024-12-28,68405
2024-12-29,68481
2024-12-30,68291
2024-12-31,68324
2025-01-01,68363
2025-01-02,68399
2025-01-03,68433
2025-01-04,68485
2025-01-05,68535
2025-01-06,68450
2025-01-07,68378
2025-01-08,68766
2025-01-09,68842
2025-01-10,68735
2025-01-11,69082
2025-01-12,68935
2025-01-13,68974
2025-01-14,69014
2025-01-15,69296
2025-01-16,69327
2025-01-17,69356
2025-01-18,69370
2025-01-19,69307
2025-01-20,70711
2025-01-21,70882
2025-01-22,70978
2025-01-23,70668
2025-01-24,70819
2025-01-25,68513
2025-01-26,68580
2025-01-27,69134
2025-01-28,69112
2025-01-29,69103
2025-01-30,69244
2025-01-31,69223
2025-02-01,69204
2025-02-02,69191
2025-02-03,69173
2025-02-04,69166
2025-02-05,69141
2025-02-06,69110
2025-02-07,69308
2025-02-08,69283
2025-02-09,69428
2025-02-10,69155
2025-02-11,69235
2025-02-12,69110
2025-02-13,68982
2025-02-14,67992
2025-02-15,67948
2025-02-16,68002
2025-02-17,68052
2025-02-18,67871
2025-02-19,68124
2025-02-20,68089
2025-02-21,68048
2025-02-22,68340
2025-02-23,68306
2025-02-24,68284
2025-02-25,68268
2025-02-26,68206
2025-02-27,68213
2025-02-28,68181
2025-03-01,68313
2025-03-02,68393
2025-03-03,68385
2025-03-04,68463
2025-03-05,68546
2025-03-06,68303
2025-03-07,68513
2025-03-08,68481
2025-03-09,68446
2025-03-10,68410
2025-03-11,69078
2025-03-12,69348
2025-03-13,69309
2025-03-14,69264
2025-03-15,69233
2025-03-16,69214
2025-03-17,69645
2025-03-18,69605
2025-03-19,69471
2025-03-20,69299
2025-03-21,69274
2025-03-22,69267
2025-03-23,69261
2025-03-24,69257
2025-03-25,68869
2025-03-26,68871
2025-03-27,68765
2025-03-28,68872
2025-03-29,68878
2025-03-30,69174
2025-03-31,69408
2025-04-01,69401
2025-04-02,69387
2025-04-03,69525
2025-04-04,70026
2025-04-05,70520
2025-04-06,70543
2025-04-07,70569
2025-04-08,71125
2025-04-09,71059
2025-04-10,70936
2025-04-11,70943
2025-04-12,70924
2025-04-13,70897
2025-04-14,71156
2025-04-15,71117
2025-04-16,71305
2025-04-17,72842
2025-04-18,72859
2025-04-19,73143
2025-04-20,73255
2025-04-21,73329
2025-04-22,73314
2025-04-23,73266
2025-04-24,72513
2025-04-25,72468
2025-04-26,70525
2025-04-27,70480
2025-04-28,70105
2025-04-29,69985
2025-04-30,69436
2025-05-01,69374
2025-05-02,69706
2025-05-03,69632
2025-05-04,69566
2025-05-05,69476
2025-05-06,69433
2025-05-07,69059
2025-05-08,69432
2025-05-09,69412
2025-05-10,69279
2025-05-11,71290
2025-05-12,71197
2025-05-13,69185
2025-05-14,68534
2025-05-15,68525
2025-05-16,68650
2025-05-17,68628
2025-05-18,68847
2025-05-19,68865
2025-05-20,67773
2025-05-21,67746
2025-05-22,67874
2025-05-23,67973
2025-05-24,67809
2025-05-25,67814
2025-05-26,67739
2025-05-27,67980
2025-05-28,67932
2025-05-29,68085
2025-05-30,68825
2025-05-31,68458
2025-06-01,68083
2025-06-02,68842
2025-06-03,68819
2025-06-04,68799
2025-06-05,69106
2025-06-06,69104
2025-06-07,68977
2025-06-08,68960
2025-06-09,69043
2025-06-10,68536
2025-06-11,68186
2025-06-12,68499
2025-06-13,68598
2025-06-14,68448
2025-06-15,68418
2025-06-16,68206
2025-06-17,68189
2025-06-18,67920
2025-06-19,68006
2025-06-20,68128
2025-06-21,67879
2025-06-22,67840
2025-06-23,67742
2025-06-24,67616
2025-06-25,67558
2025-06-26,67524
2025-06-27,68397
2025-06-28,67744
2025-06-29,68183
2025-06-30,68159
2025-07-01,68127
2025-07-02,68501
2025-07-03,68654
2025-07-04,68253
2025-07-05,68348
2025-07-06,68389
2025-07-07,68258
2025-07-08,67804
2025-07-09,67674
2025-07-10,67918
2025-07-11,67848
2025-07-12,67944
2025-07-13,68158
2025-07-14,68549
2025-07-15,69107
2025-07-16,69034
2025-07-17,69041
2025-07-18,69337
2025-07-19,69473
2025-07-20,69468
2025-07-21,69230
2025-07-22,69224
2025-07-23,69499
2025-07-24,69479
2025-07-25,69281
2025-07-26,69232
2025-07-27,69242
2025-07-28,69251
2025-07-29,69606
2025-07-30,71295
2025-07-31,70582
2025-08-01,70372
2025-08-02,70377
2025-08-03,70406
2025-08-04,70237
2025-08-05,68574
2025-08-06,68600
2025-08-07,68536
2025-08-08,68545
2025-08-09,68553
2025-08-10,68563
2025-08-11,68571
2025-08-12,68300
2025-08-13,68309
2025-08-14,68308
2025-08-15,68307
2025-08-16,68304
2025-08-17,68298
2025-08-18,68292
2025-08-19,67825
2025-08-20,67824
2025-08-21,67830
2025-08-22,67842
2025-08-23,68226
2025-08-24,68233
2025-08-25,68145
2025-08-26,68358
2025-08-27,69744
2025-08-28,71294
2025-08-29,69956
2025-08-30,69943
2025-08-31,69707
2025-09-01,69689
2025-09-02,69576
2025-09-03,71073
2025-09-04,72543
2025-09-05,71766
2025-09-06,71783
2025-09-07,72082
2025-09-08,71525
2025-09-09,71519
2025-09-10,71616
2025-09-11,72471
2025-09-12,72114
2025-09-13,72118
2025-09-14,72122
2025-09-15,73164
2025-09-16,73115
2025-09-17,73118
2025-09-18,73469
