date,price(SGD)
2024-09-16,110862
2024-09-17,111989
2024-09-18,112107
2024-09-19,112389
2024-09-20,112124
2024-09-21,111717
2024-09-22,111665
2024-09-23,111541
2024-09-24,111831
2024-09-25,111707
2024-09-26,111344
2024-09-27,111519
2024-09-28,112749
2024-09-29,112632
2024-09-30,112431
2024-10-01,112196
2024-10-02,112628
2024-10-03,113198
2024-10-04,113887
2024-10-05,114453
2024-10-06,114460
2024-10-07,114308
2024-10-08,113635
2024-10-09,113634
2024-10-10,113274
2024-10-11,113287
2024-10-12,112617
2024-10-13,112620
2024-10-14,112638
2024-10-15,112663
2024-10-16,112610
2024-10-17,112688
2024-10-18,112739
2024-10-19,112581
2024-10-20,112629
2024-10-21,113558
2024-10-22,113742
2024-10-23,113022
2024-10-24,112847
2024-10-25,113173
2024-10-26,113883
2024-10-27,113987
2024-10-28,113716
2024-10-29,113293
2024-10-30,113394
2024-10-31,113891
2024-11-01,114348
2024-11-02,114448
2024-11-03,113768
2024-11-04,113839
2024-11-05,114033
2024-11-06,113943
2024-11-07,114023
2024-11-08,114999
2024-11-09,115085
2024-11-10,114431
2024-11-11,114491
2024-11-12,114568
2024-11-13,114496
2024-11-14,114693
2024-11-15,115047
2024-11-16,114647
2024-11-17,114737
2024-11-18,114832
2024-11-19,114374
2024-11-20,114449
2024-11-21,114134
2024-11-22,114301
2024-11-23,114379
2024-11-24,114458
2024-11-25,114535
2024-11-26,114609
2024-11-27,114526
2024-11-28,114607
2024-11-29,114062
2024-11-30,115819
2024-12-01,115872
2024-12-02,116656
2024-12-03,116715
2024-12-04,116478
2024-12-05,116669
2024-12-06,116738
2024-12-07,116231
2024-12-08,115841
2024-12-09,115895
2024-12-10,115461
2024-12-11,116754
2024-12-12,116760
2024-12-13,116799
2024-12-14,116945
2024-12-15,116953
2024-12-16,116970
2024-12-17,117349
2024-12-18,118028
2024-12-19,117759
2024-12-20,117625
2024-12-21,117671
2024-12-22,117592
2024-12-23,117418
2024-12-24,117735
2024-12-25,117772
2024-12-26,117373
2024-12-27,117393
2024-12-28,117438
2024-12-29,117485
2024-12-30,117538
2024-12-31,117594
2025-01-01,117605
2025-01-02,117535
2025-01-03,117593
2025-01-04,117022
2025-01-05,117005
2025-01-06,117098
2025-01-07,117398
2025-01-08,117552
2025-01-09,116957
2025-01-10,117369
2025-01-11,117855
2025-01-12,117933
2025-01-13,118171
2025-01-14,117992
2025-01-15,118181
2025-01-16,118441
2025-01-17,118780
2025-01-18,119135
2025-01-19,119055
2025-01-20,118137
2025-01-21,117115
2025-01-22,116809
2025-01-23,116668
2025-01-24,116814
2025-01-25,117549
