date,price(SGD)
2024-09-16,29756
2024-09-17,29952
2024-09-18,29917
2024-09-19,29905
2024-09-20,29894
2024-09-21,29883
2024-09-22,29928
2024-09-23,29916
2024-09-24,29922
2024-09-25,29911
2024-09-26,29898
2024-09-27,29884
2024-09-28,29696
2024-09-29,29679
2024-09-30,29456
2024-10-01,29498
2024-10-02,29552
2024-10-03,29440
2024-10-04,29620
2024-10-05,29616
2024-10-06,29617
2024-10-07,29620
2024-10-08,29620
2024-10-09,29590
2024-10-10,29563
2024-10-11,29438
2024-10-12,29095
2024-10-13,29057
2024-10-14,29062
2024-10-15,29001
2024-10-16,29151
2024-10-17,29365
2024-10-18,29534
2024-10-19,29677
2024-10-20,29815
2024-10-21,29829
2024-10-22,29781
2024-10-23,30026
2024-10-24,30049
2024-10-25,30074
2024-10-26,30100
2024-10-27,30128
2024-10-28,30158
2024-10-29,30198
2024-10-30,30292
2024-10-31,30369
2024-11-01,30396
2024-11-02,30257
2024-11-03,29969
2024-11-04,29988
2024-11-05,29999
2024-11-06,29728
2024-11-07,29805
2024-11-08,29821
2024-11-09,29777
2024-11-10,29791
2024-11-11,29807
2024-11-12,29827
2024-11-13,29959
2024-11-14,29770
2024-11-15,29758
2024-11-16,29783
2024-11-17,29740
2024-11-18,29764
2024-11-19,29789
2024-11-20,29798
2024-11-21,29820
2024-11-22,29608
2024-11-23,29628
2024-11-24,29649
2024-11-25,29557
2024-11-26,29576
2024-11-27,29596
2024-11-28,29697
2024-11-29,29712
2024-11-30,29787
2024-12-01,29801
2024-12-02,29862
2024-12-03,29877
2024-12-04,30237
2024-12-05,30265
2024-12-06,30283
2024-12-07,30357
2024-12-08,30371
2024-12-09,30385
2024-12-10,30397
2024-12-11,30237
2024-12-12,30247
2024-12-13,30251
2024-12-14,30255
2024-12-15,30273
2024-12-16,30277
2024-12-17,30242
2024-12-18,30030
2024-12-19,30001
2024-12-20,29931
2024-12-21,29943
2024-12-22,29928
2024-12-23,29957
2024-12-24,29948
2024-12-25,29969
2024-12-26,29976
2024-12-27,29985
2024-12-28,30097
2024-12-29,30153
2024-12-30,30167
2024-12-31,30181
2025-01-01,30199
2025-01-02,30215
2025-01-03,30282
2025-01-04,30256
2025-01-05,30278
2025-01-06,30300
2025-01-07,30227
2025-01-08,30316
2025-01-09,30336
2025-01-10,30357
2025-01-11,30444
2025-01-12,30474
2025-01-13,30380
2025-01-14,30398
2025-01-15,30422
2025-01-16,30245
2025-01-17,30345
2025-01-18,30165
2025-01-19,30171
2025-01-20,30178
2025-01-21,30182
